project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,pr,ANN,deutschland,2.553582e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,pr,DJF,deutschland,2.701192e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,pr,MAM,deutschland,2.748182e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,pr,JJA,deutschland,2.223958e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,pr,SON,deutschland,2.540996e-05,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,rsds,ANN,deutschland,153.1767,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,rsds,DJF,deutschland,52.07917,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,rsds,MAM,deutschland,193.8535,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,rsds,JJA,deutschland,260.0323,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
CMIP6,CNRM-CM6-1-HR_gr,ssp126,2070-01-01 to 2099-12-31,r1i1p1f2,rsds,SON,deutschland,106.7417,monthly climatology,False,land only,CNRM-CM6-1-HR_gr_r1i1p1f2
