project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,ANN,CEU,3.243958,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,ANN,MED,0.01236296,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,DJF,NEU,44.27638,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,DJF,CEU,10.02668,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,DJF,MED,0.04882381,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,MAM,NEU,25.57681,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,MAM,CEU,2.382861,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,MAM,MED,0.0005041369,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,JJA,NEU,0.0,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,JJA,CEU,0.0,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,JJA,MED,0.0,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,SON,NEU,4.430014,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,SON,CEU,0.5662892,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snc,SON,MED,0.000123872,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,ANN,NEU,280.7555,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,ANN,CEU,286.3181,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,ANN,MED,292.8793,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,DJF,NEU,271.4693,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,DJF,CEU,277.2778,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,DJF,MED,284.1339,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,MAM,NEU,279.1089,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,MAM,CEU,285.8619,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,MAM,MED,291.1579,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,JJA,NEU,291.6805,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,JJA,CEU,296.5004,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,JJA,MED,303.0226,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,SON,NEU,280.7633,seasonal,False,land only,MIROC-ESM_r1i1p1
