project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,height_correction,model_member,RCM,GCM,Domain
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,pr,ANN,deutschland,3.055788e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,pr,DJF,deutschland,2.94703e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,pr,MAM,deutschland,2.999112e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,pr,JJA,deutschland,3.422819e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,1981-01-01 to 2010-12-31,r1i1p1,pr,SON,deutschland,2.849391e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,ANN,deutschland,282.1838,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,DJF,deutschland,273.8388,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,MAM,deutschland,280.8261,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,JJA,deutschland,291.3139,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,tas,SON,deutschland,282.6037,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,ANN,deutschland,2.665171,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,DJF,deutschland,7.039287,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,MAM,deutschland,3.517403,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,JJA,deutschland,0.08680326,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,snw,SON,deutschland,0.07202437,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,ANN,deutschland,148.0927,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,DJF,deutschland,51.94028,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,MAM,deutschland,189.1381,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,JJA,deutschland,246.9581,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,rsds,SON,deutschland,102.0257,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,ANN,deutschland,3.182574e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,DJF,deutschland,3.027865e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
