project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,snw,SON,MED,0.2409313,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,ANN,NEU,108.6508,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,ANN,CEU,136.863,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,ANN,MED,217.0215,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,DJF,NEU,19.16476,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,DJF,CEU,48.56202,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,DJF,MED,122.5678,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,MAM,NEU,161.0346,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,MAM,CEU,171.1407,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,MAM,MED,252.3131,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,JJA,NEU,198.2127,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,JJA,CEU,232.8255,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,JJA,MED,313.1065,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,SON,NEU,56.19117,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,SON,CEU,94.9237,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,rsds,SON,MED,180.0984,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,tas,ANN,NEU,275.3814,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,tas,ANN,CEU,280.9858,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,tas,ANN,MED,288.4983,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,tas,DJF,NEU,265.802,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,tas,DJF,CEU,270.1833,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,tas,DJF,MED,278.3466,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,tas,MAM,NEU,273.558,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,tas,MAM,CEU,280.527,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
CMIP6,EC-Earth3_gr,historical,1981-01-01 to 2010-12-31,r4i1p1f1,tas,MAM,MED,287.12,monthly climatology,False,land only,EC-Earth3_gr_r4i1p1f1
